context_type,difficulty,model_name,pref_group,filename,experiment_group,valid_samples,parse_success,parse_fail,parse_error_rate,domain_acc,domain_f1,slot_f1,slot_prec,slot_rec,pref_slot_f1,pref_slot_prec,pref_slot_rec,file_path
diag-apilist,easy,multiturn-query,gemini-3-flash-preview,1229_test_1.json,unknown,332,332,0,0.0,0.9518,0.9518,0.0993,0.2875,0.06,0.2088,0.2875,0.1639,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/multiturn-query/gemini-3-flash-preview/imp-zs/high/1229_test_1.json
diag-apilist,easy,multiturn-query,gpt-4o-mini-2024-07-18,1229_test_1.json,unknown,332,330,2,0.006,0.7892,0.7915,0.1254,0.1921,0.093,0.2188,0.1921,0.2542,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/multiturn-query/gpt-4o-mini-2024-07-18/imp-zs/default/1229_test_1.json
diag-apilist,easy,singleturn-query,Qwen_Qwen3-VL-8B-Instruct,1229_test_vllm_1.json,unknown,332,332,0,0.0,0.997,0.997,0.577,0.4742,0.7368,0.5776,0.475,0.7368,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/Qwen_Qwen3-VL-8B-Instruct/imp-zs/1229_test_vllm_1.json
diag-apilist,easy,singleturn-query,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,1229_test_deepseek_integration.json,unknown,332,319,13,0.0392,0.9428,0.9616,0.442,0.3204,0.7119,0.6817,0.6539,0.7119,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Llama-8B/imp-zs/1229_test_deepseek_integration.json
diag-apilist,easy,singleturn-query,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,1229_test_deepseek_integration.json,unknown,332,317,15,0.0452,0.8765,0.8926,0.304,0.208,0.5651,0.5771,0.5896,0.5651,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Qwen-7B/imp-zs/1229_test_deepseek_integration.json
diag-apilist,easy,singleturn-query,google_codegemma-7b-it,1229_test_vllm_1.json,unknown,332,329,3,0.009,0.9699,0.9743,0.2989,0.1931,0.662,0.6144,0.5731,0.662,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/google_codegemma-7b-it/imp-zs/1229_test_vllm_1.json
diag-apilist,easy,singleturn-query,google_gemma-3-12b-it,1229_test_vllm_1.json,unknown,332,332,0,0.0,0.5904,0.5904,0.1814,0.1593,0.2105,0.3083,0.5758,0.2105,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/google_gemma-3-12b-it/imp-zs/1229_test_vllm_1.json
diag-apilist,easy,singleturn-query,gpt-4o-mini-2024-07-18,1229_test_1.json,unknown,332,332,0,0.0,1.0,1.0,0.6044,0.5009,0.7618,0.6044,0.5009,0.7618,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/gpt-4o-mini-2024-07-18/imp-zs/default/1229_test_1.json
diag-apilist,easy,singleturn-query,gpt-5-mini,1229_test_1.json,unknown,332,332,0,0.0,0.997,0.997,0.7256,0.6142,0.8864,0.7256,0.6142,0.8864,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/gpt-5-mini/imp-zs/high/1229_test_1.json
diag-apilist,easy,singleturn-query,meta-llama_Llama-3.1-8B-Instruct,1229_test_vllm_1.json,unknown,332,332,0,0.0,0.997,0.997,0.4817,0.375,0.6731,0.5504,0.4655,0.6731,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/meta-llama_Llama-3.1-8B-Instruct/imp-zs/1229_test_vllm_1.json
diag-apilist,hard,multiturn-query,gpt-4o-mini-2024-07-18,1229_test_1.json,unknown,472,468,4,0.0085,0.6864,0.6886,0.1548,0.231,0.1164,0.2912,0.2316,0.3923,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/multiturn-query/gpt-4o-mini-2024-07-18/imp-zs/default/1229_test_1.json
diag-apilist,hard,singleturn-query,Qwen_Qwen3-VL-8B-Instruct,1229_test_vllm_1.json,unknown,472,472,0,0.0,1.0,1.0,0.1983,0.1495,0.2945,0.1983,0.1495,0.2945,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/Qwen_Qwen3-VL-8B-Instruct/imp-zs/1229_test_vllm_1.json
diag-apilist,hard,singleturn-query,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,1229_test_deepseek_integration.json,unknown,472,448,24,0.0508,0.8602,0.8684,0.1082,0.0769,0.1822,0.1713,0.1617,0.1822,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Llama-8B/imp-zs/1229_test_deepseek_integration.json
diag-apilist,hard,singleturn-query,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,1229_test_deepseek_integration.json,unknown,472,436,36,0.0763,0.7775,0.7957,0.0431,0.0287,0.0869,0.091,0.0956,0.0869,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Qwen-7B/imp-zs/1229_test_deepseek_integration.json
diag-apilist,hard,singleturn-query,gemini-3-flash-preview,1229_test_1.json,unknown,472,472,0,0.0,0.911,0.8496,0.267,0.2211,0.3369,0.2672,0.2214,0.3369,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/gemini-3-flash-preview/imp-zs/high/1229_test_1.json
diag-apilist,hard,singleturn-query,google_codegemma-7b-it,1229_test_vllm_1.json,unknown,472,448,24,0.0508,0.8771,0.8997,0.0736,0.049,0.1483,0.1357,0.125,0.1483,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/google_codegemma-7b-it/imp-zs/1229_test_vllm_1.json
diag-apilist,hard,singleturn-query,google_gemma-3-12b-it,1229_test_vllm_1.json,unknown,472,472,0,0.0,0.6165,0.6165,0.0242,0.0205,0.0297,0.0431,0.0787,0.0297,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/google_gemma-3-12b-it/imp-zs/1229_test_vllm_1.json
diag-apilist,hard,singleturn-query,gpt-4o-mini-2024-07-18,1229_test_1.json,unknown,472,472,0,0.0,0.9873,0.9873,0.2021,0.161,0.2712,0.2021,0.161,0.2712,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/gpt-4o-mini-2024-07-18/imp-zs/default/1229_test_1.json
diag-apilist,hard,singleturn-query,meta-llama_Llama-3.1-8B-Instruct,1229_test_vllm_1.json,unknown,472,472,0,0.0,0.9979,0.9979,0.3072,0.2266,0.4767,0.3268,0.2486,0.4767,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/meta-llama_Llama-3.1-8B-Instruct/imp-zs/1229_test_vllm_1.json
diag-apilist,medium,multiturn-query,gpt-4o-mini-2024-07-18,1229_test_1.json,unknown,293,293,0,0.0,0.8225,0.8225,0.1965,0.2765,0.1524,0.3541,0.2765,0.4923,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/multiturn-query/gpt-4o-mini-2024-07-18/imp-zs/default/1229_test_1.json
diag-apilist,medium,singleturn-query,Qwen_Qwen3-VL-8B-Instruct,1229_test_vllm_1.json,unknown,293,293,0,0.0,1.0,1.0,0.5111,0.3893,0.744,0.5111,0.3893,0.744,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/Qwen_Qwen3-VL-8B-Instruct/imp-zs/1229_test_vllm_1.json
diag-apilist,medium,singleturn-query,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,1229_test_deepseek_integration.json,unknown,293,289,4,0.0137,0.9454,0.9454,0.366,0.247,0.7065,0.575,0.4848,0.7065,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Llama-8B/imp-zs/1229_test_deepseek_integration.json
diag-apilist,medium,singleturn-query,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,1229_test_deepseek_integration.json,unknown,293,275,18,0.0614,0.8669,0.8928,0.2068,0.1339,0.4539,0.403,0.3624,0.4539,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Qwen-7B/imp-zs/1229_test_deepseek_integration.json
diag-apilist,medium,singleturn-query,gemini-3-flash-preview,1229_test_1.json,unknown,293,293,0,0.0,0.9522,0.9316,0.5735,0.4432,0.8123,0.5735,0.4432,0.8123,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/gemini-3-flash-preview/imp-zs/high/1229_test_1.json
