context_type,difficulty,model_name,pref_group,filename,experiment_group,valid_samples,parse_error_rate,domain_acc,slot_f1,pref_slot_f1,file_path
easy,multiturn-query,gemini-3-flash-preview,imp-zs,1229_test_1.json,unknown,332,0.0,0.9518,0.0993,0.2088,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/multiturn-query/gemini-3-flash-preview/imp-zs/high/1229_test_1.json
easy,multiturn-query,gpt-4o-mini-2024-07-18,imp-zs,1229_test_1.json,unknown,332,0.006,0.7892,0.1254,0.2188,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/multiturn-query/gpt-4o-mini-2024-07-18/imp-zs/default/1229_test_1.json
easy,singleturn-query,Qwen_Qwen3-VL-8B-Instruct,imp-zs,1229_test_vllm_1.json,unknown,332,0.0,0.997,0.577,0.5776,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/Qwen_Qwen3-VL-8B-Instruct/imp-zs/1229_test_vllm_1.json
easy,singleturn-query,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,imp-zs,1229_test_deepseek_integration.json,unknown,332,0.0392,0.9428,0.442,0.6817,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Llama-8B/imp-zs/1229_test_deepseek_integration.json
easy,singleturn-query,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,imp-zs,1229_test_deepseek_integration.json,unknown,332,0.0452,0.8765,0.304,0.5771,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Qwen-7B/imp-zs/1229_test_deepseek_integration.json
easy,singleturn-query,google_codegemma-7b-it,imp-zs,1229_test_vllm_1.json,unknown,332,0.009,0.9699,0.2989,0.6144,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/google_codegemma-7b-it/imp-zs/1229_test_vllm_1.json
easy,singleturn-query,google_gemma-3-12b-it,imp-zs,1229_test_vllm_1.json,unknown,332,0.0,0.5904,0.1814,0.3083,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/google_gemma-3-12b-it/imp-zs/1229_test_vllm_1.json
easy,singleturn-query,gpt-4o-mini-2024-07-18,imp-zs,1229_test_1.json,unknown,332,0.0,1.0,0.6044,0.6044,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/gpt-4o-mini-2024-07-18/imp-zs/default/1229_test_1.json
easy,singleturn-query,gpt-5-mini,imp-zs,1229_test_1.json,unknown,332,0.0,0.997,0.7256,0.7256,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/gpt-5-mini/imp-zs/high/1229_test_1.json
easy,singleturn-query,meta-llama_Llama-3.1-8B-Instruct,imp-zs,1229_test_vllm_1.json,unknown,332,0.0,0.997,0.4817,0.5504,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/meta-llama_Llama-3.1-8B-Instruct/imp-zs/1229_test_vllm_1.json
hard,multiturn-query,gpt-4o-mini-2024-07-18,imp-zs,1229_test_1.json,unknown,472,0.0085,0.6864,0.1548,0.2912,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/multiturn-query/gpt-4o-mini-2024-07-18/imp-zs/default/1229_test_1.json
hard,singleturn-query,Qwen_Qwen3-VL-8B-Instruct,imp-zs,1229_test_vllm_1.json,unknown,472,0.0,1.0,0.1983,0.1983,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/Qwen_Qwen3-VL-8B-Instruct/imp-zs/1229_test_vllm_1.json
hard,singleturn-query,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,imp-zs,1229_test_deepseek_integration.json,unknown,472,0.0508,0.8602,0.1082,0.1713,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Llama-8B/imp-zs/1229_test_deepseek_integration.json
hard,singleturn-query,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,imp-zs,1229_test_deepseek_integration.json,unknown,472,0.0763,0.7775,0.0431,0.091,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Qwen-7B/imp-zs/1229_test_deepseek_integration.json
hard,singleturn-query,gemini-3-flash-preview,imp-zs,1229_test_1.json,unknown,472,0.0,0.911,0.267,0.2672,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/gemini-3-flash-preview/imp-zs/high/1229_test_1.json
hard,singleturn-query,google_codegemma-7b-it,imp-zs,1229_test_vllm_1.json,unknown,472,0.0508,0.8771,0.0736,0.1357,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/google_codegemma-7b-it/imp-zs/1229_test_vllm_1.json
hard,singleturn-query,google_gemma-3-12b-it,imp-zs,1229_test_vllm_1.json,unknown,472,0.0,0.6165,0.0242,0.0431,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/google_gemma-3-12b-it/imp-zs/1229_test_vllm_1.json
hard,singleturn-query,gpt-4o-mini-2024-07-18,imp-zs,1229_test_1.json,unknown,472,0.0,0.9873,0.2021,0.2021,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/gpt-4o-mini-2024-07-18/imp-zs/default/1229_test_1.json
hard,singleturn-query,gpt-5-mini,imp-zs,1229_test_1.json,unknown,472,0.0,0.9555,0.2568,0.2568,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/gpt-5-mini/imp-zs/high/1229_test_1.json
hard,singleturn-query,meta-llama_Llama-3.1-8B-Instruct,imp-zs,1229_test_vllm_1.json,unknown,472,0.0,0.9979,0.3072,0.3268,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/hard/singleturn-query/meta-llama_Llama-3.1-8B-Instruct/imp-zs/1229_test_vllm_1.json
medium,multiturn-query,gpt-4o-mini-2024-07-18,imp-zs,1229_test_1.json,unknown,293,0.0,0.8225,0.1965,0.3541,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/multiturn-query/gpt-4o-mini-2024-07-18/imp-zs/default/1229_test_1.json
medium,singleturn-query,Qwen_Qwen3-VL-8B-Instruct,imp-zs,1229_test_vllm_1.json,unknown,293,0.0,1.0,0.5111,0.5111,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/Qwen_Qwen3-VL-8B-Instruct/imp-zs/1229_test_vllm_1.json
medium,singleturn-query,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,imp-zs,1229_test_deepseek_integration.json,unknown,293,0.0137,0.9454,0.366,0.575,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Llama-8B/imp-zs/1229_test_deepseek_integration.json
medium,singleturn-query,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,imp-zs,1229_test_deepseek_integration.json,unknown,293,0.0614,0.8669,0.2068,0.403,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Qwen-7B/imp-zs/1229_test_deepseek_integration.json
medium,singleturn-query,gemini-3-flash-preview,imp-zs,1229_test_1.json,unknown,293,0.0,0.9522,0.5735,0.5735,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/gemini-3-flash-preview/imp-zs/high/1229_test_1.json
medium,singleturn-query,google_codegemma-7b-it,imp-zs,1229_test_vllm_1.json,unknown,293,0.0375,0.9078,0.1964,0.4629,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/google_codegemma-7b-it/imp-zs/1229_test_vllm_1.json
medium,singleturn-query,google_gemma-3-12b-it,imp-zs,1229_test_vllm_1.json,unknown,293,0.0,0.5324,0.1849,0.3037,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/google_gemma-3-12b-it/imp-zs/1229_test_vllm_1.json
medium,singleturn-query,gpt-4o-mini-2024-07-18,imp-zs,1229_test_1.json,unknown,293,0.0,0.9898,0.5513,0.5513,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/gpt-4o-mini-2024-07-18/imp-zs/default/1229_test_1.json
medium,singleturn-query,gpt-5-mini,imp-zs,1229_test_1.json,unknown,293,0.0,0.9863,0.5773,0.5773,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/gpt-5-mini/imp-zs/high/1229_test_1.json
medium,singleturn-query,meta-llama_Llama-3.1-8B-Instruct,imp-zs,1229_test_vllm_1.json,unknown,293,0.0,1.0,0.5139,0.564,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/medium/singleturn-query/meta-llama_Llama-3.1-8B-Instruct/imp-zs/1229_test_vllm_1.json
