group_key,context,pref_type,query_turns,model_name,prompt_type,file_name,json_path,rel_path,status,error,tp,fp,fn,precision,recall,f1,or_log_path,parsing_fail_path
diag-apilist/easy/singleturn-query/Qwen_Qwen3-VL-8B-Instruct/imp-zs,diag-apilist,easy,singleturn-query,Qwen_Qwen3-VL-8B-Instruct,imp-zs,1229_test_vllm_1.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/Qwen_Qwen3-VL-8B-Instruct/imp-zs/1229_test_vllm_1.json,diag-apilist/easy/singleturn-query/Qwen_Qwen3-VL-8B-Instruct/imp-zs/1229_test_vllm_1.json,ok,,266,295,95,0.4741532976827095,0.7368421052631579,0.5770065075921909,,./1229-3_results_logs/diag-apilist__easy__singleturn-query__Qwen_Qwen3-VL-8B-Instruct__imp-zs__1229_test_vllm_1.json.parsing_failures.txt
diag-apilist/easy/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Llama-8B/imp-zs,diag-apilist,easy,singleturn-query,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,imp-zs,1229_test_deepseek_integration.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Llama-8B/imp-zs/1229_test_deepseek_integration.json,diag-apilist/easy/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Llama-8B/imp-zs/1229_test_deepseek_integration.json,ok,,258,541,103,0.32290362953692114,0.7146814404432132,0.44482758620689655,,./1229-3_results_logs/diag-apilist__easy__singleturn-query__deepseek-ai_DeepSeek-R1-Distill-Llama-8B__imp-zs__1229_test_deepseek_integration.json.parsing_failures.txt
diag-apilist/easy/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Qwen-7B/imp-zs,diag-apilist,easy,singleturn-query,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,imp-zs,1229_test_deepseek_integration.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Qwen-7B/imp-zs/1229_test_deepseek_integration.json,diag-apilist/easy/singleturn-query/deepseek-ai_DeepSeek-R1-Distill-Qwen-7B/imp-zs/1229_test_deepseek_integration.json,ok,,204,762,157,0.2111801242236025,0.5650969529085873,0.30746043707611154,,./1229-3_results_logs/diag-apilist__easy__singleturn-query__deepseek-ai_DeepSeek-R1-Distill-Qwen-7B__imp-zs__1229_test_deepseek_integration.json.parsing_failures.txt
diag-apilist/easy/singleturn-query/gemini-3-flash-preview-high/imp-zs,diag-apilist,easy,singleturn-query,gemini-3-flash-preview-high,imp-zs,1229_test_1.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/gemini-3-flash-preview-high/imp-zs/1229_test_1.json,diag-apilist/easy/singleturn-query/gemini-3-flash-preview-high/imp-zs/1229_test_1.json,error,JSONDecodeError('Expecting value: line 15268 column 27 (char 696333)'),0,0,0,0.0,0.0,0.0,,./1229-3_results_logs/diag-apilist__easy__singleturn-query__gemini-3-flash-preview-high__imp-zs__1229_test_1.json.parsing_failures.txt
diag-apilist/easy/singleturn-query/gemini-3-flash-preview-minimal/imp-zs,diag-apilist,easy,singleturn-query,gemini-3-flash-preview-minimal,imp-zs,1229_test_1.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/gemini-3-flash-preview-minimal/imp-zs/1229_test_1.json,diag-apilist/easy/singleturn-query/gemini-3-flash-preview-minimal/imp-zs/1229_test_1.json,error,JSONDecodeError('Expecting value: line 15268 column 27 (char 696333)'),0,0,0,0.0,0.0,0.0,,./1229-3_results_logs/diag-apilist__easy__singleturn-query__gemini-3-flash-preview-minimal__imp-zs__1229_test_1.json.parsing_failures.txt
diag-apilist/easy/singleturn-query/gemini-3-flash-preview-minimal/imp-zs,diag-apilist,easy,singleturn-query,gemini-3-flash-preview-minimal,imp-zs,1229_test_2.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/gemini-3-flash-preview-minimal/imp-zs/1229_test_2.json,diag-apilist/easy/singleturn-query/gemini-3-flash-preview-minimal/imp-zs/1229_test_2.json,ok,,279,176,82,0.6131868131868132,0.7728531855955678,0.6838235294117647,,./1229-3_results_logs/diag-apilist__easy__singleturn-query__gemini-3-flash-preview-minimal__imp-zs__1229_test_2.json.parsing_failures.txt
diag-apilist/easy/singleturn-query/gemini-3-flash-preview/imp-zs-high,diag-apilist,easy,singleturn-query,gemini-3-flash-preview,imp-zs-high,1229_test_2.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/gemini-3-flash-preview/imp-zs-high/1229_test_2.json,diag-apilist/easy/singleturn-query/gemini-3-flash-preview/imp-zs-high/1229_test_2.json,ok,,317,184,44,0.6327345309381237,0.8781163434903048,0.7354988399071927,,./1229-3_results_logs/diag-apilist__easy__singleturn-query__gemini-3-flash-preview__imp-zs-high__1229_test_2.json.parsing_failures.txt
diag-apilist/easy/singleturn-query/google_codegemma-7b-it/imp-zs,diag-apilist,easy,singleturn-query,google_codegemma-7b-it,imp-zs,1229_test_vllm_1.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/google_codegemma-7b-it/imp-zs/1229_test_vllm_1.json,diag-apilist/easy/singleturn-query/google_codegemma-7b-it/imp-zs/1229_test_vllm_1.json,ok,,243,995,118,0.1962843295638126,0.6731301939058172,0.30393996247654786,,./1229-3_results_logs/diag-apilist__easy__singleturn-query__google_codegemma-7b-it__imp-zs__1229_test_vllm_1.json.parsing_failures.txt
diag-apilist/easy/singleturn-query/google_gemma-3-12b-it/imp-zs,diag-apilist,easy,singleturn-query,google_gemma-3-12b-it,imp-zs,1229_test_vllm_1.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/google_gemma-3-12b-it/imp-zs/1229_test_vllm_1.json,diag-apilist/easy/singleturn-query/google_gemma-3-12b-it/imp-zs/1229_test_vllm_1.json,ok,,59,543,302,0.09800664451827243,0.1634349030470914,0.122533748701973,,./1229-3_results_logs/diag-apilist__easy__singleturn-query__google_gemma-3-12b-it__imp-zs__1229_test_vllm_1.json.parsing_failures.txt
diag-apilist/easy/singleturn-query/gpt-4o-mini-2024-07-18/imp-zs,diag-apilist,easy,singleturn-query,gpt-4o-mini-2024-07-18,imp-zs,1229_test_1.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/gpt-4o-mini-2024-07-18/imp-zs/1229_test_1.json,diag-apilist/easy/singleturn-query/gpt-4o-mini-2024-07-18/imp-zs/1229_test_1.json,ok,,275,274,86,0.5009107468123861,0.7617728531855956,0.6043956043956045,,./1229-3_results_logs/diag-apilist__easy__singleturn-query__gpt-4o-mini-2024-07-18__imp-zs__1229_test_1.json.parsing_failures.txt
diag-apilist/easy/singleturn-query/gpt-5-mini-high/imp-zs,diag-apilist,easy,singleturn-query,gpt-5-mini-high,imp-zs,1229_test_1.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/gpt-5-mini-high/imp-zs/1229_test_1.json,diag-apilist/easy/singleturn-query/gpt-5-mini-high/imp-zs/1229_test_1.json,ok,,320,201,41,0.6142034548944337,0.8864265927977839,0.7256235827664399,,./1229-3_results_logs/diag-apilist__easy__singleturn-query__gpt-5-mini-high__imp-zs__1229_test_1.json.parsing_failures.txt
diag-apilist/easy/singleturn-query/gpt-5-mini-minimal/imp-zs,diag-apilist,easy,singleturn-query,gpt-5-mini-minimal,imp-zs,1229_test_1.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/gpt-5-mini-minimal/imp-zs/1229_test_1.json,diag-apilist/easy/singleturn-query/gpt-5-mini-minimal/imp-zs/1229_test_1.json,ok,,256,238,105,0.5182186234817814,0.7091412742382271,0.5988304093567253,,./1229-3_results_logs/diag-apilist__easy__singleturn-query__gpt-5-mini-minimal__imp-zs__1229_test_1.json.parsing_failures.txt
diag-apilist/easy/singleturn-query/meta-llama_Llama-3.1-8B-Instruct/imp-zs,diag-apilist,easy,singleturn-query,meta-llama_Llama-3.1-8B-Instruct,imp-zs,1229_test_vllm_1.json,/data/minseo/experiments4/vanillaLLM/inference/1229-3_output/diag-apilist/easy/singleturn-query/meta-llama_Llama-3.1-8B-Instruct/imp-zs/1229_test_vllm_1.json,diag-apilist/easy/singleturn-query/meta-llama_Llama-3.1-8B-Instruct/imp-zs/1229_test_vllm_1.json,ok,,243,405,118,0.375,0.6731301939058172,0.48166501486620417,,./1229-3_results_logs/diag-apilist__easy__singleturn-query__meta-llama_Llama-3.1-8B-Instruct__imp-zs__1229_test_vllm_1.json.parsing_failures.txt
